feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
144,73,21,16,10,12,26,100,177,220,371,599,1280,1346,1461,1367,1319,1205,1250,1269,981,806,550,320
141,63,51,14,16,14,28,103,172,205,442,601,1165,1228,912,872,847,1227,1561,1611,1386,1007,810,680
67,67,107,14,11,19,18,75,185,223,298,571,1044,1107,872,765,824,1032,1237,1084,759,543,377,168
69,54,35,6,7,15,19,76,212,238,364,717,1223,1166,994,931,929,1093,1275,1161,1083,726,441,241
142,104,55,33,51,13,36,77,185,222,437,739,1326,1372,979,942,1019,1250,1663,1781,1513,1188,1000,638
256,171,104,67,51,26,25,41,170,192,334,801,1341,1468,1395,1221,1168,1284,1400,1321,1099,791,498,272
130,68,52,23,10,16,28,128,226,271,402,652,1282,1353,1084,1124,920,1063,1160,1184,893,720,541,304
78,60,51,17,10,12,22,73,172,186,318,414,1003,1153,981,846,872,1051,1200,1276,1004,841,525,315
95,63,45,26,3,23,28,108,209,241,372,549,1206,1223,1156,1102,1083,1107,1109,1193,900,660,442,226
82,93,51,28,39,17,30,138,225,261,358,621,1074,1176,914,858,830,928,954,871,730,506,262,150
93,44,27,23,17,12,23,126,203,184,375,539,1140,1211,909,803,869,841,1033,1017,764,614,352,273
138,71,68,60,21,10,18,107,179,217,366,668,1160,1163,1024,912,904,991,1209,1190,944,778,408,284
130,96,53,33,14,12,34,79,168,204,349,597,1127,1125,837,773,778,1045,1121,1097,1003,827,588,353
172,89,54,38,34,19,32,78,187,165,366,607,1274,1242,1010,1044,1019,950,1096,1180,860,664,392,218
67,58,42,23,31,13,26,89,178,190,354,558,1082,1031,891,780,757,925,910,897,640,506,327,176
132,54,27,64,18,19,24,78,237,172,309,483,961,1033,902,733,756,941,1089,1057,686,615,368,241
137,115,61,37,20,31,25,82,188,173,329,669,1272,1294,1109,1116,1040,1241,682,1227,1033,948,625,305
193,195,90,46,49,15,21,45,106,147,365,767,1120,1125,1235,1056,1031,1006,1131,1034,856,587,317,224
67,75,43,26,17,18,28,112,217,189,346,605,1145,1186,955,945,858,1174,1267,1172,947,729,495,232
113,54,36,11,16,38,28,71,167,211,343,608,1324,1189,816,876,897,1064,1193,1233,927,701,307,181
110,66,47,21,53,18,38,89,163,190,350,687,1192,1241,963,919,946,955,1068,1007,957,649,375,199
182,67,81,40,28,17,28,76,197,176,384,650,1269,1338,1073,979,1081,1295,1664,1621,1487,1199,999,636
88,48,49,39,17,12,34,76,180,183,468,669,1077,1152,967,785,845,1003,1215,1106,858,713,417,293
68,58,53,40,40,26,34,104,198,214,419,515,1040,1200,905,798,764,1027,1224,1225,1016,666,550,262
242,100,63,47,49,20,37,91,252,208,422,721,1271,1377,1303,1251,1113,1335,1635,1550,1459,1335,1172,888
232,145,51,66,32,19,37,66,160,186,303,487,1123,1383,1080,935,1018,1184,1239,1319,1320,1078,887,588
103,103,23,15,20,15,42,101,246,241,352,593,1232,1306,1049,974,957,1053,1100,1199,1005,723,494,185
143,82,61,34,41,29,31,105,251,220,363,707,1304,1510,1220,1094,1000,1216,1359,1225,1182,936,671,303
185,106,53,35,30,17,33,91,262,219,361,660,1252,1408,1073,1054,1035,1123,1166,1194,1072,875,623,281
136,78,53,12,8,17,23,75,209,194,344,534,1225,1237,1025,1004,966,1157,1255,1267,1075,899,664,317
108,55,26,36,32,24,26,73,179,241,415,661,1344,1470,1193,1209,1205,1275,1331,1206,1156,804,598,306
177,176,65,32,10,13,23,106,215,196,321,579,1249,1275,957,885,900,1290,1624,1540,1395,1261,962,712
255,114,93,61,24,22,24,97,232,232,410,674,1366,1383,1033,1031,1031,1325,1539,1722,1655,1542,1120,855
125,70,20,14,17,13,28,72,178,183,385,520,1060,1104,861,866,838,948,1173,1221,908,678,479,204
90,50,22,18,33,5,19,82,188,190,335,554,1164,1075,910,803,870,1011,1070,1091,833,638,505,292
70,51,34,16,28,14,18,105,195,216,372,622,1093,1198,962,947,837,1019,1230,1183,956,628,426,211
240,161,87,71,64,53,81,165,485,510,554,871,1353,1435,1065,1017,964,1436,1728,1766,1500,1386,1036,659
