feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
573,375,301,212,55,34,25,33,113,143,303,615,1226,1281,1221,1081,866,1096,1039,975,746,581,409,182
394,264,140,144,104,28,28,25,70,153,401,649,1216,1399,1249,1240,1109,1137,1290,1137,791,638,597,316
603,348,176,177,47,30,40,42,101,180,401,777,1344,1573,1408,1243,1141,1178,1256,1114,814,635,304,168
428,309,199,117,82,43,24,64,152,183,408,797,1288,1491,1523,1460,1365,1520,1700,1797,1596,1139,910,640
372,310,203,133,65,39,27,36,107,139,329,651,990,1027,1041,971,1104,844,1023,1019,862,643,591,452
448,344,183,146,71,14,30,41,108,137,277,576,1010,1271,1264,1062,1093,1030,1069,1151,898,754,467,362
621,322,221,150,65,40,42,84,148,190,341,685,1162,1391,1367,1279,1318,1336,1440,1479,1417,1347,1003,803
597,409,142,93,48,30,34,87,132,157,389,1024,1648,1768,1703,1706,1520,1562,1608,1766,1533,1441,1252,964
525,431,248,240,91,64,29,117,200,236,456,717,1331,1609,1563,1398,1465,1459,1631,1891,1847,1731,1375,1188
587,382,165,192,130,44,21,35,73,132,299,639,1110,1320,1208,1069,1070,1164,1547,1575,1503,1139,1066,776
501,328,195,218,67,17,28,72,132,215,406,765,1207,1427,1234,1238,1107,1190,1255,1144,905,690,386,192
880,752,913,863,402,112,60,112,119,186,365,596,990,1193,1040,1063,1009,1025,1089,979,706,585,356,187
493,389,174,121,82,36,27,64,127,203,415,747,1164,1414,1520,1295,1265,1430,1637,1697,1456,1319,1179,848
616,323,162,166,68,26,34,68,123,263,815,1611,1823,2019,1763,1728,1568,1439,1431,1282,1078,857,498,248
389,276,161,124,35,26,51,75,71,126,225,496,968,1128,1117,993,819,879,998,1057,1014,987,836,680
548,384,245,147,101,40,30,66,77,209,380,650,1229,1527,1456,1333,1326,1293,1582,1713,1490,1270,1206,752
369,297,171,108,90,47,37,73,164,203,325,584,1160,1371,1238,1213,1268,1370,1530,1524,1343,1020,884,585
418,350,116,93,90,37,27,52,100,155,392,697,1093,1413,1353,1247,1280,1357,1520,1555,1212,1022,817,502
504,273,175,135,62,44,35,65,112,180,370,668,1205,1491,1390,1329,1342,1455,1653,1739,1537,1222,1041,665
498,339,170,194,94,48,31,60,164,166,355,777,1251,1358,1265,1280,1226,1379,1493,1561,1198,907,919,731
478,405,237,154,62,61,29,50,78,242,362,836,1462,1431,1459,1315,1214,1221,1299,1239,1208,966,653,296
595,300,190,137,44,34,22,56,100,186,405,702,1267,1459,1360,1179,1276,1350,1597,1609,1373,1051,897,592
388,308,147,153,51,58,34,62,132,166,402,638,1216,1468,1290,1163,1125,1148,1215,916,902,661,388,220
623,536,299,172,74,31,44,35,101,186,353,660,1137,1284,1174,1262,978,1075,1072,1141,1028,805,457,294
499,395,237,136,55,29,30,66,114,150,375,646,1138,1372,1322,1138,1025,1078,1162,1070,1036,759,419,272
440,329,137,144,90,41,33,50,175,171,350,784,1166,1499,1427,1256,1222,1312,1551,1582,1322,1090,979,718
550,354,160,102,48,37,29,54,107,222,499,705,1177,1269,1335,1275,1280,1335,1455,1530,1334,1315,1247,1084
498,359,192,160,71,33,19,45,184,191,288,626,1212,1282,1167,1070,845,923,868,776,567,385,272,182
498,349,195,196,84,61,31,58,124,228,507,835,1347,1630,1461,1210,1182,1221,1389,1590,1445,1190,978,725
266,287,100,98,82,27,32,35,77,173,384,634,1068,1242,1290,1244,1156,1256,1213,1203,799,808,572,298
403,341,256,136,62,27,22,45,80,147,328,627,1147,1185,1236,1104,994,1142,1106,1165,910,736,464,200
423,351,226,219,99,51,18,38,95,191,436,855,1445,1691,1461,1498,1286,1299,1368,1405,1157,793,522,276
434,333,191,109,38,21,37,58,68,169,278,479,935,1130,1008,927,920,982,979,1013,953,749,489,294
641,508,272,199,85,41,21,37,101,171,428,810,1378,1608,1464,1354,1090,1272,1200,1086,805,679,559,384
682,442,231,173,97,68,35,79,72,176,431,846,1295,1603,1290,1200,1220,1266,1376,1491,1499,1222,1117,851
402,376,216,201,60,39,33,60,101,150,401,749,1253,1428,1362,1264,1231,1425,1328,1181,879,680,392,219
492,356,233,189,95,29,36,59,82,187,448,802,1331,1489,1408,1307,1236,1294,1463,1217,1036,697,403,223
587,461,254,125,79,32,25,35,111,151,343,673,1209,1368,1338,1187,1162,1035,1136,1122,1032,762,505,271
697,813,447,335,129,83,46,51,120,182,330,623,1050,1254,1251,943,870,1032,1161,1199,926,781,480,295
417,274,124,115,46,20,17,38,98,163,359,655,1078,1352,1249,1059,1039,1181,1175,1069,894,682,373,221
425,352,122,173,109,14,22,42,92,152,444,759,1230,1328,1355,1301,1206,1196,1565,1445,1372,1097,886,655
308,273,139,83,80,47,24,61,114,180,345,726,1265,1469,1316,1367,1309,1395,1720,1592,1590,1131,923,713
447,288,185,112,48,26,22,76,108,188,397,617,1095,1445,1158,1232,1261,1322,1430,1477,1339,1090,905,585
435,337,196,149,67,28,29,54,114,162,291,702,1197,1363,1400,1312,1310,1449,1537,1710,1360,1068,914,668
421,372,194,135,71,33,13,27,79,150,423,692,1434,1501,1401,1288,1126,1283,1478,1502,1262,837,643,479
515,366,145,150,85,21,34,63,77,211,353,628,1203,1341,1385,1222,1156,1206,1290,1186,1142,955,581,387
393,292,177,128,39,30,36,64,78,142,348,748,1201,1421,1238,1206,1278,1488,1622,1588,1254,1048,872,661
446,320,198,137,45,19,23,53,103,216,397,643,1185,1411,1304,1309,1360,1384,1471,1668,1288,1162,945,730
498,325,273,148,53,33,32,77,160,196,454,694,1259,1273,1168,1169,1198,1424,1451,1445,1113,1003,770,603
364,295,110,122,51,38,22,67,139,201,388,658,1118,1337,1230,1224,1324,1234,1394,1584,1288,1191,993,500
476,405,224,105,58,35,39,55,153,186,414,708,1157,1437,1386,1446,1287,1437,1553,1697,1526,1304,1118,867
452,300,218,131,31,44,23,32,148,170,362,774,1390,1605,1380,1415,1165,1286,1423,1260,1107,726,368,241
368,272,152,101,70,57,29,66,92,197,364,649,1269,1415,1284,1190,1181,1333,1614,1670,1286,1052,929,608
420,387,194,120,39,15,30,51,147,120,384,689,1193,1355,1267,1258,1055,1262,1220,1062,859,585,326,183
532,407,145,225,89,42,29,48,156,177,440,720,1253,1349,1268,1238,1085,1105,1292,1162,1000,669,422,279
508,402,289,151,83,29,20,71,105,168,381,758,1241,1499,1278,1380,1264,1421,1510,1621,1279,1037,897,769
511,364,211,155,81,38,20,53,137,219,475,879,1344,1392,1486,1196,914,995,1417,1582,1227,1163,1053,733
623,601,280,258,61,43,45,81,148,202,445,791,1394,1677,1834,1667,1521,1514,1437,1480,1274,1063,659,478
587,476,283,201,67,52,44,49,126,216,395,711,1294,1431,1466,1302,1315,1408,1459,1757,1507,1153,1003,890
432,367,118,113,82,34,19,74,122,176,360,839,1290,1492,1332,1260,1030,1234,1242,1198,913,669,465,261
419,361,164,83,78,37,37,35,140,136,401,717,1233,1383,1307,1265,1267,1194,1383,1191,1047,837,526,302
468,303,136,122,84,33,34,48,112,263,263,292,1112,1501,1373,1589,1451,1514,1634,1694,1452,1105,907,554
