Variable,Value
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,1.0
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,1.0
curve_1,0.8
curve_1,0.8
curve_1,1.0
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.7
curve_1,0.9
curve_1,0.8
curve_1,1.0
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.5
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.7
curve_1,0.7
curve_1,0.5
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.7
curve_1,0.5
curve_1,0.6
curve_1,0.6
curve_1,0.6
curve_1,0.5
curve_1,0.6
curve_1,0.7
curve_1,0.6
curve_1,0.6
curve_1,0.5
curve_1,0.8
curve_1,0.5
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.7
curve_1,0.9
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.5
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.5
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.5
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.9
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.9
curve_1,0.6
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,1.0
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,1.1
curve_1,0.8
curve_1,1.0
curve_1,0.9
curve_1,0.9
curve_1,0.9
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.9
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.9
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.7
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.9
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.7
curve_1,0.7
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.5
curve_1,0.4
curve_1,0.5
curve_1,0.6
curve_1,0.8
curve_1,0.5
curve_1,0.6
curve_1,0.8
curve_1,0.7
curve_1,0.6
curve_1,0.5
curve_1,0.7
curve_1,0.7
curve_1,0.6
curve_1,0.7
curve_1,0.7
curve_1,0.4
curve_1,0.7
curve_1,0.7
curve_1,0.6
curve_1,0.6
curve_1,0.8
curve_1,0.6
curve_1,0.5
curve_1,0.6
curve_1,0.7
curve_1,0.5
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.6
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.7
curve_1,0.9
curve_1,0.8
curve_1,0.7
curve_1,0.8
curve_1,0.8
curve_1,0.8
curve_1,0.9
curve_1,0.8
curve_1,0.9
curve_1,1.1
curve_1,0.8
curve_1,1.0
curve_1,0.9
curve_1,1.1
curve_1,1.1
curve_1,1.2
curve_1,1.2
curve_1,1.3
curve_1,1.3
curve_1,1.5
curve_1,1.5
curve_1,1.4
curve_1,1.8
curve_1,1.7
curve_1,1.6
curve_1,1.7
curve_1,1.8
curve_1,1.9
curve_1,1.8
curve_1,2.0
curve_1,2.0
curve_1,2.1
curve_1,2.2
curve_1,2.3
curve_1,2.3
curve_1,2.2
curve_1,2.5
curve_1,2.5
curve_1,2.3
curve_1,2.7
